Airport Code	PageRank
SYZ	0.0006920545638745762
ESB	0.0006903484001867443
REC	0.0006896051790623819
MKE	0.0006895510518211738
PIT	0.0006865554734105907
LCY	0.0006848272171291479
BIO	0.0006784384878828282
DKR	0.0006764102573819656
GYD	0.0006759175806624772
OKA	0.0006738974156742942
WNZ	0.0006722211126933886
PUJ	0.000671490234023221
TSE	0.0006675900296008603
BPN	0.0006656609169611883
CJU	0.0006634680360530271
LUX	0.0006613535691543682
SMF	0.0006594132222353054
HFE	0.0006572913180708717
ANI	0.000656376438939151
ADB	0.0006464755091716596
GYE	0.0006431443246821129
IND	0.0006417210518601674
SDU	0.0006416436678844864
TIP	0.0006403173280467528
ISB	0.0006347880629701411
LPB	0.0006271191401811157
CMH	0.0006255053780998512
YQB	0.0006230388150652578
CGQ	0.0006229244439088642
RAK	0.0006204176181836119
YZV	0.0006196390584303787
SXM	0.0006178420598734755
ABV	0.0006153268581098982
YHZ	0.000615145402037104
BOD	0.0006116832066812599
PMO	0.0006107937200678513
ABJ	0.0006090796256031752
RSW	0.0006089608472603147
TNR	0.0006078243519043025
SOF	0.0006044612488686237
CAG	0.0006031007068568521
COK	0.0006017359799508761
INC	0.000595688557691
PEN	0.0005956340289425872
ITM	0.0005941639922456313
